# Server version 0.08 running on felixs-mbp-2.lan:8123
# Game ID: 60
# Board class: pentago_twist.PentagoBoard
# Timeout: 20000
# First Move Timeout: 30000
# Date: Thu Apr 01 09:51:32 EDT 2021
# Player 1: Player-0, 'RandomPlayer', running on localhost
# Player 2: Player-1, 'MonteCarlo 260865674', running on localhost
START Player-0 RandomPlayer
START Player-1 MonteCarlo 260865674
1 0 2 0 0
4 4 2 0 1
0 2 1 0 0
1 1 1 0 1
4 0 0 1 0
1 4 1 1 1
1 5 2 1 0
1 0 2 1 1
5 4 1 1 0
4 2 1 1 1
4 3 0 0 0
5 3 0 0 1
4 1 2 1 0
0 3 2 1 1
3 3 0 0 0
3 4 0 0 1
5 5 0 0 0
1 2 0 0 1
3 1 3 0 0
2 4 3 0 1
2 3 0 0 0
1 2 1 0 1
GAMEOVER WINNER 1
# Game ended: Thu Apr 01 09:51:33 EDT 2021
