# Server version 0.08 running on felixs-mbp-2.lan:8123
# Game ID: 39
# Board class: pentago_twist.PentagoBoard
# Timeout: 20000
# First Move Timeout: 30000
# Date: Sun Mar 28 20:36:49 EDT 2021
# Player 1: Player-0, 'RandomPlayer', running on localhost
# Player 2: Player-1, 'MonteCarlo 260865674', running on localhost
START Player-0 RandomPlayer
START Player-1 MonteCarlo 260865674
1 0 2 0 0
3 2 2 0 1
0 2 1 0 0
4 2 0 0 1
3 5 0 1 0
0 0 0 0 1
1 4 2 1 0
4 2 1 0 1
5 4 1 1 0
1 5 2 1 1
4 3 0 0 0
0 1 0 0 1
4 4 2 1 0
3 2 3 0 1
3 3 0 0 0
0 3 2 1 1
5 4 0 0 0
0 5 3 1 1
3 2 3 0 0
2 3 2 0 1
2 4 0 0 0
4 2 3 1 1
3 0 3 0 0
GAMEOVER WINNER 0
# Game ended: Sun Mar 28 20:37:10 EDT 2021
